24,106
19,79.5
13,38.5
21,90.5
17,54.5
10,31
19,53.5
14,41
18,53
18,51
9,32.5
6,15
5,20.5
4,10
4,10
24,106
23,97.5
9,22.5
2,5
6,15
5,16.5
0,0
0,0
8,20
15,65.5
11,43.5
12,44
4,54
14,45
2,5
1,2.5
4,18
3,15.5
5,12.5
5,12.5
0,0
3,7.5
0,0
1,2.5
16,48
3,7.5
9,26.5
3,7.5
10,39
11,27.5
4,12
4,10
4,18
14,53
12,30
0,0
13,48.5
10,227
14,35
10,25
5,12.5
5,12.5
4,10
1,2.5
14,35
14,35
18,45
14,39
17,42.5
17,42.5
14,35
12,30
6,15
15,37.5
14,35
10,25
1,2.5
1,2.5
1,2.5
0,0
14,49
10,25
9,22.5
20,134
12,78
13,66.5
16,56
9,30.5
7,29.5
9,28.5
4,44
3,25.5
6,15
1,2.5
22,119
16,80
19,75.5
6,21
9,26.5
4,10
16,52
8,58
9,48.5
7,17.5
5,12.5
5,12.5
1,2.5
15,49.5
14,35
14,39
12,30
11,29.5
10,25
13,32.5
13,32.5
0,0
5,12.5
10,25
10,25
12,30
4,12
2,5
0,0
0,0
10,77
15,45.5
14,35
1,2.5
14,47
0,0
15,59.5
15,59.5
9,28.5
3,7.5
8,46
8,20
4,10
0,0
3,7.5
0,0
1,2.5
1,2.5
0,0
0,0
0,0
1,2.5
1,2.5
0,0
0,0
0,0
